tract,total_pop_20,bpop_20,hpop_20,asian_nhpi_pop_20,amin_pop_20,other_pop_20,white_pop_20,total_vap_20,bvap_20,hvap_20,asian_nhpi_vap_20,amin_vap_20,other_vap_20,white_vap_20,pres_08_dem,pres_08_rep,pres_12_dem,pres_12_rep,pres_16_dem,pres_16_rep,sen_16_dem,sen_16_rep,gov_18_dem,gov_18_rep,ag_18_dem,ag_18_rep,pres_20_dem,pres_20_rep,sen_22_dem,sen_22_rep,gov_22_dem,gov_22_rep,ag_22_dem,ag_22_rep,cong_22_dem,cong_22_rep,sen_18_dem,sen_18_rep,cmptr_22_dem,cmptr_22_rep
36001000100,2073.0,1429.0,181.0,57.0,17.0,19.0,370.0,1507.0,997.0,121.0,52.0,14.0,11.0,312.0,722.0,73.0,406.0,56.0,597.0,93.0,576.0,60.0,380.0,86.0,402.0,56.0,634.0,100.0,341.0,61.0,341.0,73.0,341.0,63.0,337.0,64.0,415.0,56.0,347.0,53.0
36001000201,3125.0,2190.0,167.0,120.0,30.0,52.0,566.0,2314.0,1536.0,114.0,80.0,24.0,41.0,519.0,938.0,46.0,665.0,46.0,814.0,68.0,766.0,63.0,567.0,68.0,594.0,66.0,845.0,79.0,467.0,45.0,463.0,52.0,456.0,53.0,462.0,46.0,617.0,62.0,464.0,47.0
36001000202,2598.0,2019.0,289.0,84.0,9.0,13.0,184.0,1756.0,1346.0,185.0,55.0,6.0,8.0,156.0,761.0,20.0,1034.0,72.0,509.0,14.0,458.0,13.0,332.0,21.0,339.0,18.0,574.0,41.0,232.0,30.0,234.0,36.0,238.0,26.0,232.0,31.0,342.0,17.0,229.0,28.0
36001000301,3190.0,2174.0,367.0,98.0,34.0,20.0,497.0,2189.0,1443.0,242.0,74.0,28.0,12.0,390.0,780.0,88.0,428.0,37.0,629.0,83.0,615.0,54.0,370.0,61.0,388.0,43.0,581.0,86.0,239.0,40.0,244.0,47.0,239.0,41.0,241.0,41.0,396.0,45.0,241.0,39.0
36001000302,3496.0,789.0,321.0,395.0,26.0,49.0,1916.0,2956.0,614.0,233.0,346.0,22.0,28.0,1713.0,838.0,348.0,478.0,75.0,812.0,298.0,903.0,197.0,588.0,268.0,677.0,217.0,984.0,340.0,656.0,245.0,625.0,289.0,640.0,255.0,650.0,249.0,731.0,208.0,691.0,208.0
36001000401,2216.0,252.0,67.0,120.0,19.0,27.0,1731.0,2065.0,184.0,60.0,103.0,19.0,12.0,1687.0,723.0,323.0,712.0,230.0,798.0,285.0,916.0,169.0,573.0,288.0,649.0,235.0,863.0,289.0,704.0,229.0,666.0,273.0,680.0,248.0,695.0,238.0,706.0,213.0,737.0,195.0
36001000403,4418.0,696.0,241.0,570.0,35.0,53.0,2823.0,3846.0,559.0,179.0,488.0,29.0,51.0,2540.0,1783.0,540.0,2336.0,623.0,1571.0,428.0,1718.0,282.0,1220.0,435.0,1427.0,335.0,1783.0,425.0,1376.0,335.0,1347.0,374.0,1350.0,357.0,1378.0,333.0,1535.0,323.0,1440.0,266.0
36001000404,5194.0,318.0,957.0,1000.0,1.0,21.0,2897.0,5172.0,304.0,956.0,999.0,1.0,21.0,2891.0,1129.0,160.0,566.0,147.0,607.0,104.0,583.0,82.0,121.0,9.0,132.0,8.0,62.0,1.0,143.0,25.0,147.0,27.0,145.0,26.0,141.0,23.0,133.0,9.0,147.0,24.0
36001000501,3440.0,1659.0,316.0,365.0,35.0,65.0,1000.0,2664.0,1181.0,236.0,296.0,26.0,47.0,878.0,993.0,205.0,730.0,102.0,783.0,157.0,805.0,115.0,524.0,140.0,570.0,116.0,813.0,159.0,446.0,127.0,443.0,146.0,442.0,130.0,449.0,124.0,603.0,117.0,462.0,110.0
36001000502,2841.0,652.0,219.0,186.0,18.0,204.0,1562.0,2575.0,549.0,191.0,167.0,10.0,198.0,1460.0,736.0,162.0,727.0,180.0,558.0,131.0,572.0,107.0,383.0,119.0,458.0,98.0,607.0,118.0,434.0,96.0,432.0,101.0,432.0,98.0,436.0,93.0,501.0,89.0,446.0,83.0
