tract,total_pop_20,bpop_20,hpop_20,asian_nhpi_pop_20,amin_pop_20,other_pop_20,white_pop_20,total_vap_20,bvap_20,hvap_20,asian_nhpi_vap_20,amin_vap_20,other_vap_20,white_vap_20,pres_08_dem,pres_08_rep,pres_12_dem,pres_12_rep,pres_16_dem,pres_16_rep,gov_18_dem,gov_18_rep,ag_18_dem,ag_18_rep,pres_20_dem,pres_20_rep
06001400100,3038.0,211.0,198.0,690.0,19.0,80.0,1840.0,2633.0,168.0,146.0,568.0,18.0,53.0,1680.0,1495.0,286.0,1500.0,293.0,1641.0,174.0,1565.0,243.0,1541.0,241.0,1907.0,207.0
06001400200,2001.0,75.0,197.0,300.0,12.0,34.0,1383.0,1652.0,54.0,141.0,227.0,8.0,30.0,1192.0,1200.0,95.0,1199.0,103.0,1249.0,68.0,1248.0,98.0,1241.0,103.0,1407.0,73.0
06001400300,5504.0,712.0,507.0,834.0,36.0,122.0,3293.0,4654.0,588.0,392.0,650.0,35.0,102.0,2887.0,3059.0,143.0,2795.0,132.0,2976.0,109.0,3051.0,169.0,3017.0,161.0,3518.0,148.0
06001400400,4112.0,391.0,349.0,604.0,30.0,62.0,2676.0,3421.0,306.0,278.0,465.0,22.0,59.0,2291.0,2654.0,71.0,2377.0,71.0,2427.0,55.0,2473.0,105.0,2466.0,98.0,2564.0,66.0
06001400500,3644.0,749.0,406.0,480.0,28.0,83.0,1898.0,3087.0,657.0,325.0,381.0,27.0,65.0,1632.0,2241.0,45.0,2044.0,41.0,2100.0,32.0,2148.0,56.0,2132.0,57.0,2188.0,61.0
06001400600,1788.0,528.0,162.0,186.0,21.0,82.0,809.0,1494.0,440.0,126.0,153.0,19.0,59.0,697.0,980.0,18.0,926.0,11.0,915.0,16.0,944.0,32.0,939.0,37.0,1056.0,34.0
06001400700,4508.0,1396.0,565.0,573.0,36.0,96.0,1842.0,3866.0,1209.0,452.0,478.0,30.0,81.0,1616.0,2142.0,26.0,2233.0,30.0,2436.0,44.0,2402.0,72.0,2374.0,70.0,2797.0,67.0
06001400800,3917.0,1134.0,442.0,705.0,25.0,80.0,1531.0,3332.0,913.0,370.0,601.0,20.0,61.0,1367.0,1597.0,35.0,1683.0,36.0,1865.0,52.0,2091.0,114.0,2085.0,83.0,2062.0,91.0
06001400900,2514.0,781.0,319.0,327.0,17.0,47.0,1023.0,2121.0,622.0,259.0,265.0,17.0,29.0,929.0,1140.0,19.0,1110.0,22.0,1245.0,25.0,1143.0,48.0,1126.0,34.0,1455.0,47.0
06001401000,6097.0,2120.0,884.0,764.0,45.0,96.0,2188.0,5198.0,1728.0,715.0,700.0,35.0,68.0,1952.0,2416.0,43.0,2571.0,37.0,2845.0,59.0,2900.0,108.0,2879.0,83.0,3363.0,108.0
06001401100,4966.0,1083.0,649.0,836.0,49.0,92.0,2257.0,4319.0,817.0,551.0,741.0,38.0,79.0,2093.0,2104.0,85.0,2124.0,70.0,2327.0,73.0,2367.0,106.0,2357.0,98.0,2592.0,106.0
