county_fips,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_LTG_Total,E_24_LTG_Dem,E_24_LTG_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep,state,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_17_GOV_Total,E_17_GOV_Dem,E_17_GOV_Rep,E_17_AG_Total,E_17_AG_Dem,E_17_AG_Rep,E_17_LTG_Total,E_17_LTG_Dem,E_17_LTG_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_21_GOV_Total,E_21_GOV_Dem,E_21_GOV_Rep,E_21_AG_Total,E_21_AG_Dem,E_21_AG_Rep,E_21_LTG_Total,E_21_LTG_Dem,E_21_LTG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_SOS_Total,E_16_SOS_Dem,E_16_SOS_Rep,E_16_TREAS_Total,E_16_TREAS_Dem,E_16_TREAS_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PUBLND_Total,E_24_PUBLND_Dem,E_24_PUBLND_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_22_LTG_Total,E_22_LTG_Dem,E_22_LTG_Rep,E_24_SEN_SPEC_Total,E_24_SEN_SPEC_Dem,E_24_SEN_SPEC_Rep,E_16_CONG_Total,E_16_CONG_Dem,E_16_CONG_Rep,E_18_CONG_Total,E_18_CONG_Dem,E_18_CONG_Rep,E_20_CONG_Total,E_20_CONG_Dem,E_20_CONG_Rep,E_16-24_COMP_Total,E_16-24_COMP_Dem,E_16-24_COMP_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_22_SC3_Total,E_22_SC3_Dem,E_22_SC3_Rep,E_22_SC5_Total,E_22_SC5_Dem,E_22_SC5_Rep,E_24_SC6_Total,E_24_SC6_Dem,E_24_SC6_Rep,E_17_SEN_SPEC_Total,E_17_SEN_SPEC_Dem,E_17_SEN_SPEC_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SC6_Total,E_22_SC6_Dem,E_22_SC6_Rep,E_22_SC1_Total,E_22_SC1_Dem,E_22_SC1_Rep,E_22_SC2_Total,E_22_SC2_Dem,E_22_SC2_Rep,E_22_SCC_Total,E_22_SCC_Dem,E_22_SCC_Rep,E_24_SC1_Total,E_24_SC1_Dem,E_24_SC1_Rep,E_24_SC2_Total,E_24_SC2_Dem,E_24_SC2_Rep,E_24_SC3_Total,E_24_SC3_Dem,E_24_SC3_Rep,E_14_GOV_Total,E_14_GOV_Dem,E_14_GOV_Rep,E_14_AG_Total,E_14_AG_Dem,E_14_AG_Rep,E_18_SEN_SPEC_Total,E_18_SEN_SPEC_Dem,E_18_SEN_SPEC_Rep,E_19_GOV_Total,E_19_GOV_Dem,E_19_GOV_Rep,E_19_AG_Total,E_19_AG_Dem,E_19_AG_Rep,E_16_SCC_Total,E_16_SCC_Dem,E_16_SCC_Rep,E_18_CMPTR_Total,E_18_CMPTR_Dem,E_18_CMPTR_Rep,E_18_SCC_Total,E_18_SCC_Dem,E_18_SCC_Rep,E_20_SCC_Total,E_20_SCC_Dem,E_20_SCC_Rep,E_18_SEN_ROFF_Total,E_18_SEN_ROFF_Dem,E_18_SEN_ROFF_Rep,E_19_LTG_Total,E_19_LTG_Dem,E_19_LTG_Rep,E_16-23_COMP_Total,E_16-23_COMP_Dem,E_16-23_COMP_Rep,E_23_GOV_Total,E_23_GOV_Dem,E_23_GOV_Rep,E_23_AG_Total,E_23_AG_Dem,E_23_AG_Rep,E_23_AUD_Total,E_23_AUD_Dem,E_23_AUD_Rep,E_23_LTG_Total,E_23_LTG_Dem,E_23_LTG_Rep,E_23_SOS_Total,E_23_SOS_Dem,E_23_SOS_Rep,E_23_TREAS_Total,E_23_TREAS_Dem,E_23_TREAS_Rep,E_22_CMPTR_Total,E_22_CMPTR_Dem,E_22_CMPTR_Rep,E_16_SEN_ROFF_Total,E_16_SEN_ROFF_Dem,E_16_SEN_ROFF_Rep,E_19_GOV_ROFF_Total,E_19_GOV_ROFF_Dem,E_19_GOV_ROFF_Rep,E_23_AG_ROFF_Total,E_23_AG_ROFF_Dem,E_23_AG_ROFF_Rep,E_20_SEN_SPEC_Total,E_20_SEN_SPEC_Dem,E_20_SEN_SPEC_Rep,E_21_SEN_ROFF_Total,E_21_SEN_ROFF_Dem,E_21_SEN_ROFF_Rep,E_21_SEN_SPECROFF_Total,E_21_SEN_SPECROFF_Dem,E_21_SEN_SPECROFF_Rep
50001,19241.0,13198.0,5666.0,19031.0,11219.0,5297.0,19029.0,11882.0,6294.0,19140.0,8576.0,10101.0,18334.0,12742.0,5060.0,18712.0,9908.0,8470.0,17202.0,0.0,4439.0,17339.0,7203.0,9514.0,16922.0,12329.0,4111.0,17198.0,0.0,6647.0,19845.0,11935.0,7065.0,22022.0,14967.0,6292.0,21867.0,6218.0,15034.0,21037.0,14927.0,5247.0,19560.0,0.0,0.0,21547.0,11579.0,9214.0,21130.0,13687.0,5696.0,20912.0,12708.0,6444.0,22607.0,14879.0,6841.0,22351.0,14407.0,7038.0,22276.0,5375.0,16171.0,21463.0,12756.0,7709.0,21313.0,13377.0,7905.0,21823.0,10651.0,10464.0,21381.0,12880.0,8474.0,21573.0,12752.0,8793.0,21712.0,13845.0,6406.0,VT.v07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50003,19067.0,12524.0,6133.0,17381.0,9539.0,5925.0,17249.0,10246.0,5527.0,17320.0,8140.0,8551.0,16300.0,8500.0,5859.0,16565.0,8665.0,7288.0,14732.0,0.0,3910.0,14686.0,6152.0,7351.0,14258.0,8520.0,4330.0,14409.0,0.0,5553.0,18064.0,10058.0,6826.0,20462.0,12705.0,7114.0,20007.0,5846.0,12053.0,18886.0,11309.0,6471.0,17042.0,0.0,0.0,19553.0,10297.0,8157.0,19082.0,10792.0,6337.0,18902.0,10152.0,6815.0,20710.0,12326.0,7697.0,20237.0,11831.0,6597.0,20223.0,4292.0,14007.0,19358.0,10729.0,7375.0,18950.0,10689.0,8238.0,19378.0,9392.0,8951.0,19256.0,10959.0,8273.0,19228.0,10913.0,8292.0,19364.0,11499.0,5996.0,VT.v07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50005,14732.0,8898.0,5471.0,14074.0,6445.0,5534.0,14074.0,7348.0,5910.0,14201.0,4494.0,9221.0,13649.0,7122.0,6083.0,13853.0,5862.0,7542.0,11666.0,0.0,4296.0,11751.0,3850.0,7427.0,11507.0,6683.0,4501.0,11655.0,0.0,5739.0,14403.0,7070.0,6558.0,16169.0,9011.0,6551.0,15973.0,3471.0,11701.0,15275.0,9039.0,5503.0,14131.0,0.0,0.0,15732.0,6747.0,8342.0,15369.0,8243.0,5738.0,15256.0,7846.0,6089.0,16638.0,8980.0,6929.0,16378.0,8856.0,6558.0,16407.0,2642.0,12951.0,15750.0,7482.0,7547.0,15545.0,7944.0,7581.0,16079.0,5839.0,9707.0,15721.0,7869.0,7830.0,15720.0,8038.0,7666.0,15793.0,8293.0,5802.0,VT.v07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50007,83128.0,59615.0,22238.0,83416.0,54814.0,18601.0,82848.0,57338.0,21654.0,83223.0,42993.0,38277.0,79600.0,61250.0,16146.0,80915.0,47573.0,31772.0,75490.0,0.0,16441.0,75935.0,35121.0,38443.0,74068.0,58446.0,13581.0,75072.0,0.0,25623.0,88387.0,58066.0,26625.0,98915.0,74961.0,21017.0,97615.0,30542.0,64912.0,93059.0,71907.0,17122.0,85189.0,0.0,0.0,95533.0,56065.0,34772.0,92871.0,66850.0,18528.0,91650.0,58680.0,23105.0,97329.0,72656.0,20937.0,95539.0,70006.0,21966.0,95224.0,26237.0,65873.0,90624.0,62560.0,24626.0,88994.0,63995.0,24828.0,91799.0,51742.0,36409.0,89294.0,63139.0,26024.0,90645.0,65271.0,25228.0,92099.0,67698.0,19012.0,VT.v07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50009,3118.0,1735.0,1286.0,2925.0,1019.0,1506.0,2891.0,1324.0,1356.0,2907.0,736.0,2056.0,2772.0,1308.0,1342.0,2826.0,999.0,1728.0,2176.0,0.0,976.0,2216.0,506.0,1573.0,2157.0,1081.0,1025.0,2169.0,0.0,1276.0,2853.0,1125.0,1555.0,3288.0,1405.0,1773.0,3181.0,551.0,2408.0,3052.0,1466.0,1411.0,2793.0,0.0,0.0,3177.0,1062.0,1984.0,3082.0,1233.0,1499.0,3069.0,1201.0,1486.0,3425.0,1344.0,1890.0,3352.0,1442.0,1677.0,3368.0,375.0,2773.0,3228.0,1155.0,1916.0,3187.0,1224.0,1958.0,3284.0,947.0,2260.0,3209.0,1218.0,1989.0,3224.0,1231.0,1991.0,3192.0,1253.0,1439.0,VT.v07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50011,21448.0,13179.0,7853.0,21411.0,9351.0,8752.0,21478.0,11948.0,8526.0,21522.0,6425.0,14512.0,20886.0,13395.0,6927.0,21237.0,7236.0,13685.0,18214.0,0.0,6782.0,18302.0,4991.0,12592.0,17980.0,11469.0,6005.0,18234.0,0.0,10515.0,22743.0,10892.0,10713.0,25830.0,13611.0,11274.0,25649.0,4251.0,20095.0,24698.0,14935.0,8854.0,22988.0,0.0,0.0,25231.0,9327.0,14530.0,24694.0,11853.0,9020.0,24781.0,8893.0,14142.0,26743.0,13280.0,12490.0,26426.0,13282.0,12021.0,26522.0,3280.0,21960.0,25461.0,11413.0,12954.0,25148.0,11985.0,13126.0,25985.0,9167.0,16136.0,25314.0,11214.0,14060.0,25451.0,11947.0,13470.0,25451.0,12208.0,10825.0,VT.v07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50013,4267.0,2694.0,1490.0,4109.0,2094.0,1487.0,4110.0,2363.0,1556.0,4140.0,1422.0,2615.0,4027.0,2765.0,1171.0,4064.0,1768.0,2229.0,3685.0,0.0,1229.0,3709.0,1138.0,2429.0,3647.0,2545.0,1012.0,3692.0,0.0,1922.0,4362.0,2299.0,1878.0,4851.0,2905.0,1810.0,4824.0,924.0,3755.0,4687.0,3087.0,1442.0,4310.0,0.0,0.0,4779.0,2148.0,2471.0,4690.0,2777.0,1496.0,4630.0,2397.0,1838.0,5001.0,2940.0,1893.0,4935.0,2847.0,1910.0,4954.0,744.0,4050.0,4754.0,2525.0,2069.0,4691.0,2578.0,2105.0,4838.0,1954.0,2762.0,4716.0,2467.0,2242.0,4752.0,2615.0,2132.0,4799.0,2736.0,1718.0,VT.v07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50015,12660.0,8914.0,3515.0,12762.0,7241.0,3570.0,12767.0,7902.0,4163.0,12770.0,5242.0,7222.0,12175.0,8281.0,3480.0,12521.0,6621.0,5657.0,11355.0,0.0,2931.0,11460.0,4548.0,6571.0,11103.0,7965.0,2764.0,11313.0,0.0,4533.0,13401.0,7832.0,4894.0,14915.0,10240.0,4163.0,14816.0,3639.0,10695.0,14043.0,9629.0,3764.0,12892.0,0.0,0.0,14458.0,7459.0,6441.0,14100.0,8903.0,3934.0,13873.0,8133.0,4467.0,14844.0,9788.0,4505.0,14605.0,9444.0,4465.0,14653.0,2565.0,11491.0,13849.0,8080.0,5142.0,13624.0,8134.0,5471.0,14232.0,6511.0,7277.0,13781.0,8016.0,5755.0,13889.0,8360.0,5516.0,14094.0,8784.0,4176.0,VT.v07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50017,15197.0,9797.0,5045.0,14649.0,7541.0,5007.0,14650.0,8073.0,5823.0,14740.0,5901.0,8459.0,14048.0,8840.0,4609.0,14339.0,7051.0,6703.0,12538.0,0.0,3790.0,12582.0,4469.0,7492.0,12292.0,8180.0,3717.0,12464.0,0.0,5281.0,15252.0,8140.0,6347.0,17122.0,10304.0,6187.0,16999.0,4132.0,12174.0,16233.0,10203.0,5247.0,14837.0,0.0,0.0,16820.0,8239.0,8001.0,16278.0,9331.0,5571.0,16169.0,9130.0,5707.0,17667.0,10217.0,6681.0,17457.0,10123.0,6479.0,17481.0,3309.0,13344.0,16736.0,8648.0,7275.0,16564.0,9055.0,7477.0,17010.0,7233.0,9132.0,16851.0,9507.0,7312.0,16715.0,9146.0,7550.0,16858.0,9489.0,5939.0,VT.v07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50019,12812.0,7998.0,4481.0,12046.0,5185.0,5159.0,11973.0,6033.0,5199.0,12068.0,3299.0,8291.0,11540.0,6574.0,4561.0,11775.0,4884.0,6619.0,9876.0,0.0,3853.0,9950.0,3010.0,6538.0,9715.0,5792.0,3580.0,9891.0,0.0,5126.0,12422.0,5770.0,6003.0,14096.0,7147.0,6512.0,13851.0,2690.0,10291.0,13283.0,7624.0,5116.0,12133.0,0.0,0.0,13627.0,5230.0,7874.0,13291.0,6647.0,5409.0,13215.0,6404.0,5710.0,14765.0,7006.0,7233.0,14475.0,7182.0,6619.0,14530.0,1852.0,11966.0,13950.0,6093.0,7252.0,13783.0,6353.0,7421.0,14310.0,4124.0,9869.0,13895.0,6053.0,7833.0,13946.0,6477.0,7461.0,13954.0,6328.0,5449.0,VT.v07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
